ALT_GEO_CODE,Total - Ethnic origin for the population in private households - 25% sample data,English,French,Belgian,German,Swiss,Danish,Icelandic,Swedish,Polish,Russian,Croatian,Portuguese,Serbian,Spanish,Argentinian,Brazilian,Colombian,Costa Rican,Mexican,Panamanian,Peruvian,Uruguayan,Nigerian,Senegalese,Egyptian,Moroccan,Tunisian,Iranian,Saudi Arabian,Japanese,Korean,Australian
535018900,1.0,0.1469767441860465,0.06790697674418604,0.0027906976744186047,0.04372093023255814,0.0027906976744186047,0.0027906976744186047,0.0,0.004651162790697674,0.021395348837209303,0.013953488372093023,0.009302325581395349,0.029767441860465118,0.010232558139534883,0.01674418604651163,0.0,0.0027906976744186047,0.0,0.0,0.0027906976744186047,0.0,0.0,0.0027906976744186047,0.0027906976744186047,0.0027906976744186047,0.0018604651162790699,0.0037209302325581397,0.0,0.005581395348837209,0.0,0.009302325581395349,0.005581395348837209,0.0027906976744186047
535019001,1.0,0.05098684210526316,0.018092105263157895,0.0010964912280701754,0.017543859649122806,0.0010964912280701754,0.001644736842105263,0.0,0.0,0.003289473684210526,0.0027412280701754384,0.0,0.01918859649122807,0.003289473684210526,0.011513157894736841,0.0,0.005482456140350877,0.0,0.0,0.0021929824561403508,0.0,0.0,0.0,0.003837719298245614,0.0,0.0021929824561403508,0.0027412280701754384,0.0,0.008223684210526315,0.0,0.0043859649122807015,0.007675438596491228,0.0
535019002,1.0,0.12433581296493093,0.0669500531349628,0.003188097768331562,0.04569606801275239,0.0021253985122210413,0.0,0.003188097768331562,0.006376195536663124,0.011689691817215728,0.019128586609989374,0.003188097768331562,0.011689691817215728,0.008501594048884165,0.040382571732199786,0.0,0.0,0.007438894792773645,0.0021253985122210413,0.003188097768331562,0.0021253985122210413,0.004250797024442083,0.0,0.004250797024442083,0.0,0.0021253985122210413,0.0,0.0,0.007438894792773645,0.0,0.004250797024442083,0.004250797024442083,0.0
535019100,1.0,0.21378504672897197,0.06074766355140187,0.002336448598130841,0.08294392523364486,0.002336448598130841,0.007009345794392523,0.0,0.007009345794392523,0.02102803738317757,0.018691588785046728,0.011682242990654205,0.028037383177570093,0.011682242990654205,0.011682242990654205,0.0,0.007009345794392523,0.005841121495327103,0.0,0.0,0.0,0.0,0.0,0.002336448598130841,0.0,0.0,0.0,0.0,0.004672897196261682,0.002336448598130841,0.015186915887850467,0.009345794392523364,0.0
535019200,1.0,0.14207650273224043,0.06557377049180328,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.01092896174863388,0.02185792349726776,0.0,0.0,0.0,0.0546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02185792349726776,0.0,0.01092896174863388,0.0,0.0273224043715847,0.0,0.0
535019300,1.0,0.09907120743034056,0.034055727554179564,0.0,0.04179566563467492,0.0030959752321981426,0.0,0.0,0.0,0.010835913312693499,0.009287925696594427,0.0,0.017027863777089782,0.0030959752321981426,0.02631578947368421,0.0,0.0,0.0,0.0,0.0046439628482972135,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.007739938080495356,0.0,0.0046439628482972135,0.006191950464396285,0.0030959752321981426
535019401,1.0,0.014847161572052401,0.007860262008733625,0.0,0.005240174672489083,0.0,0.0,0.0,0.0,0.004366812227074236,0.004366812227074236,0.0,0.0017467248908296944,0.0017467248908296944,0.0034934497816593887,0.0,0.0017467248908296944,0.01572052401746725,0.0,0.0026200873362445414,0.0,0.0,0.0,0.0,0.0,0.0026200873362445414,0.0,0.0,0.0,0.0026200873362445414,0.0,0.0026200873362445414,0.0
535019402,1.0,0.06597222222222222,0.015625,0.001736111111111111,0.017361111111111112,0.0,0.004340277777777778,0.0,0.0,0.010416666666666666,0.006076388888888889,0.0,0.004340277777777778,0.003472222222222222,0.006076388888888889,0.0,0.001736111111111111,0.0026041666666666665,0.0,0.0,0.0,0.0,0.0,0.001736111111111111,0.0,0.006076388888888889,0.0026041666666666665,0.0,0.011284722222222222,0.0,0.001736111111111111,0.006944444444444444,0.0
535019403,1.0,0.03208556149732621,0.0142602495543672,0.0,0.012477718360071301,0.0,0.0,0.0,0.0035650623885918,0.012477718360071301,0.0035650623885918,0.0,0.0071301247771836,0.0035650623885918,0.0196078431372549,0.0,0.0053475935828877,0.0035650623885918,0.0,0.0035650623885918,0.0,0.0,0.0035650623885918,0.0,0.0,0.0035650623885918,0.0,0.0,0.0,0.0,0.0053475935828877,0.0035650623885918,0.0
535019404,1.0,0.07480916030534351,0.022900763358778626,0.0,0.028244274809160305,0.0015267175572519084,0.0015267175572519084,0.0,0.0015267175572519084,0.012213740458015267,0.010687022900763359,0.0015267175572519084,0.009923664122137405,0.003816793893129771,0.020610687022900764,0.0,0.0,0.004580152671755725,0.0,0.008396946564885497,0.0,0.0,0.0,0.0022900763358778627,0.0,0.003816793893129771,0.0,0.0,0.007633587786259542,0.0022900763358778627,0.0022900763358778627,0.010687022900763359,0.0
535019501,1.0,0.33108866442199775,0.0931537598204265,0.013468013468013467,0.1122334455667789,0.012345679012345678,0.002244668911335578,0.004489337822671156,0.003367003367003367,0.025813692480359147,0.026936026936026935,0.006734006734006734,0.03254769921436588,0.002244668911335578,0.02356902356902357,0.002244668911335578,0.013468013468013467,0.002244668911335578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003367003367003367,0.0,0.0,0.013468013468013467,0.0,0.006734006734006734,0.02132435465768799,0.0
535019502,1.0,0.34663865546218486,0.08403361344537816,0.0,0.09453781512605042,0.0063025210084033615,0.0,0.004201680672268907,0.023109243697478993,0.05672268907563025,0.023109243697478993,0.0,0.008403361344537815,0.023109243697478993,0.014705882352941176,0.0,0.0,0.0063025210084033615,0.0,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.012605042016806723,0.0,0.008403361344537815,0.02100840336134454,0.0063025210084033615
535019601,1.0,0.32439678284182305,0.08310991957104558,0.00804289544235925,0.0938337801608579,0.0,0.0,0.005361930294906166,0.00804289544235925,0.032171581769437,0.040214477211796246,0.0,0.005361930294906166,0.005361930294906166,0.03753351206434316,0.010723860589812333,0.005361930294906166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005361930294906166,0.0,0.0,0.005361930294906166,0.0,0.00804289544235925,0.005361930294906166,0.005361930294906166
